"92.10 Gemeentecode","92.11 Omschrijving","92.12 Nieuwe code","99.98 Datum ingang","99.99 Datum einde"
"1680","Aa en Hunze","","19980101","",""
"1000","Aagtekerke","0686","","19660701",""
"0738","Aalburg","","","",""
"0358","Aalsmeer","","","",""
"1001","Aalst","0866","","19230101",""
"0197","Aalten","","","",""
"0648","Aardenburg","1698","","19950101",""
"1002","Aarlanderveen","0484","","19180101",""
"0739","Aarle-Rixtel","1659","","19970101",""
"0359","Abbekerk","0529","","19790101",""
"0481","Abbenbroek","0568","","19800101",""
"0305","Abcoude","0736","19410501","20110101",""
"1003","Abcoude-Baambrugge","0305","","19410501",""
"1004","Abcoude-Proostdij","0305","","19410501",""
"1301","Abtsregt","1215","","18550901",""
"1302","Achthoven","0328","","18570908",""
"0059","Achtkarspelen","","","",""
"1005","Achttienhoven","1224","","19540101",""
"1303","Achttienhoven (bij Nieuwkoop)","0569","","18550901",""
"1304","Ackersdijk en Vrouwenregt","1215","","18550901",""
"0001","Adorp","0053","","19900101",""
"0002","Aduard","0056","","19900101",""
"1006","Aengwirden","0074","","19340701",""
"0360","Akersloot","0383","","20020101",""
"0482","Alblasserdam","","","",""
"0613","Albrandswaard","","19850101","",""
"0477","Albrandswaard (oud)","0592","","18410901",""
"1007","Alem, Maren en Kessel","0808","","19580101",""
"0483","Alkemade","1884","","20090101",""
"0361","Alkmaar","","","",""
"0141","Almelo","","19130101","",""
"0034","Almere","","19840101","",""
"0740","Almkerk","0874","","19730101",""
"1008","Alphen","0484","","19180101",""
"0484","Alphen aan den Rijn","","19180101","",""
"0741","Alphen en Riel","1723","","19970101",""
"1723","Alphen-Chaam","","19970101","",""
"0142","Ambt Delden","1735","","20010101",""
"1679","Ambt Montfort","1669","19940201","20070101",""
"1009","Ambt-Almelo","0141","","19140101",""
"1010","Ambt-Doetinchem","0222","","19200101",""
"1011","Ambt-Hardenberg","0160","","19410501",""
"1012","Ambt-Ommen","0175","","19230501",""
"1013","Ambt-Vollenhove","0185","","19420201",""
"0883","Amby","0935","","19700701",""
"0485","Ameide","0707","","19860101",""
"0060","Ameland","","","",""
"0306","Amerongen","1581","","20060101",""
"0307","Amersfoort","","","",""
